time_increment,realtime,machine[3].lat,machine[3].lng,machine[3].technical_data.engine_revolutions,machine[3].technical_data.fuel_consumption,machine[3].technical_data.vehicle_payload
317,25:36.0,51.39589167,8.262908951,1380.875,15.2,7857
318,25:38.0,51.39589202,8.26290226,1381.125,13.6,7857
319,25:40.0,51.39588677,8.262873227,1380.5,10.75,7857
320,25:42.0,51.39588643,8.262862061,1379.875,8.65,7857
321,25:44.0,51.3958948,8.262829988,1379.5,6.6,7857
322,25:46.0,51.39589579,8.26281763,1380,4.7,7857
323,25:48.0,51.39589468,8.26281174,1380,3.4,7857
324,25:50.0,51.39588799,8.262807286,1380.5,3.3,7857
325,25:52.0,51.39588808,8.262803542,1380.125,3.3,7857
326,25:54.0,51.39589359,8.262788945,1379.5,3.35,7857
327,25:56.0,51.39589354,8.262781342,1380,2.85,7857
328,25:58.0,51.39588775,8.262769268,1379.5,3.4,7857
329,26:00.0,51.39588433,8.262755958,1378.125,3.95,7857
330,26:02.0,51.39588367,8.262739699,1377.75,5.1,7857
331,26:04.0,51.39589097,8.262681901,1377.5,5.65,7857
332,26:06.0,51.39589183,8.262661223,1377.125,5.7,7857
333,26:08.0,51.39588799,8.2626303,1376.125,5.2,7857
334,26:10.0,51.3958887,8.262617169,1375.875,5.75,7857
335,26:12.0,51.39589714,8.262597262,1376,5.8,7857
336,26:14.0,51.39589719,8.262587425,1375.5,6.45,7857
337,26:16.0,51.39589312,8.262563868,1375,7.15,7857
338,26:18.0,51.39589683,8.262518164,1375,9.5,7857
339,26:20.0,51.39589579,8.262509254,1375.25,12.95,7857
340,26:22.0,51.39589274,8.26250304,1375,16.5,7857
341,26:24.0,51.39588987,8.262500046,1374.875,15.65,7857
342,26:26.0,51.39589461,8.262498448,1374.75,16,7857
343,26:28.0,51.39589589,8.262493554,1374,16.8,7857
344,26:30.0,51.39589246,8.262476418,1372.875,17.6,7857
345,26:32.0,51.39589253,8.262469586,1371.75,17.3,7857
346,26:34.0,51.39589722,8.262458864,1371.375,17.45,7857
347,26:36.0,51.39589743,8.262451353,1371.75,18.1,7857
348,26:38.0,51.39589399,8.262432832,1371,19.3,7857
349,26:40.0,51.39589511,8.26242696,1370.875,19.35,7857
350,26:42.0,51.39590269,8.262422276,1371.5,20.05,7857
351,26:44.0,51.39590258,8.262404028,1371,19.45,7857
352,26:46.0,51.39591208,8.262402354,1370.375,19.5,7857
353,26:48.0,51.39591496,8.262394377,1370.875,20.7,7857
354,26:50.0,51.39591485,8.262388622,1370.25,22,7857
355,26:52.0,51.3959101,8.262388699,1369.25,22.05,7857
356,26:54.0,51.39590955,8.262395114,1369.75,22.65,7857
357,26:56.0,51.39591209,8.262403875,1370,22.7,7857
358,26:58.0,51.3959182,8.262405614,1370.25,23.35,7857
359,27:00.0,51.3959235,8.262402171,1370.875,23.45,7857
360,27:02.0,51.39592438,8.26239151,1371,23.5,7857
361,27:04.0,51.39592033,8.262384905,1371,22.95,7857
362,27:06.0,51.39591807,8.262383402,1371.875,23.5,7857
363,27:08.0,51.39591673,8.26238403,1371,23.6,7857
364,27:10.0,51.3959158,8.262388607,1370.25,23,7637
365,27:12.0,51.39591672,8.262382509,1371,23.6,7637
366,27:14.0,51.39591386,8.262382555,1371.5,22.9,7637
367,27:16.0,51.39591171,8.26238955,1371.75,21.5,7637
368,27:18.0,51.39591302,8.262399297,1372.125,18.7,7637
369,27:20.0,51.39591606,8.262400895,1372.5,17.2,7417
370,27:22.0,51.39592064,8.262400696,1373.125,15.75,7417
371,27:24.0,51.39592375,8.262394677,1372.625,13.65,7417
372,27:26.0,51.39592465,8.26238131,1372.5,11.55,7417
373,27:28.0,51.39592296,8.262368479,1372.875,10.1,7417
374,27:30.0,51.39591945,8.262362694,1373.625,8.1,7197
375,27:32.0,51.39591374,8.262362786,1374,7.4,7197
376,27:34.0,51.39591161,8.262367083,1374.875,7.1,7197
377,27:36.0,51.39591083,8.262375759,1375.875,7.2,7197
378,27:38.0,51.39591172,8.262384409,1376.625,7.85,7197
379,27:40.0,51.3959139,8.262388638,1376.625,7.95,7197
380,27:42.0,51.39591961,8.262388546,1377,8,6977
381,27:44.0,51.39592059,8.262383212,1377,8.05,6977
382,27:46.0,51.39591953,8.26237638,1378.375,8.05,6977
383,27:48.0,51.3959157,8.262371879,1378.875,8.65,6977
384,27:50.0,51.39591284,8.262371925,1380,9.8,6977
385,27:52.0,51.39591184,8.262375878,1382.625,10.45,6977
386,27:54.0,51.39591292,8.262384091,1384.375,11.15,6757
387,27:56.0,51.39591961,8.262393611,1385,11.85,6757
388,27:58.0,51.3959235,8.262395811,1386,11.4,6757
389,28:00.0,51.39592535,8.262394536,1385.5,10.35,6757
390,28:02.0,51.39592531,8.262386933,1385.125,9.8,6757
391,28:04.0,51.39592244,8.262381684,1386.125,9.2,6537
392,28:06.0,51.39591669,8.262377946,1386.75,9.8,6537
393,28:08.0,51.3959124,8.262377076,1386.75,9.8,6537
394,28:10.0,51.39591003,8.262378054,1386.875,9.75,6537
395,28:12.0,51.3959101,8.26239022,1387.875,10.4,6537
396,28:14.0,51.39591272,8.262394089,1388.125,12.1,6537
397,28:16.0,51.39591843,8.262395985,1387.875,13.45,6537
398,28:18.0,51.39592735,8.262395483,1387.375,13.6,6317
399,28:20.0,51.39593295,8.262392893,1387.5,13.85,6317
400,28:22.0,51.39593042,8.262387747,1388.375,15.25,6317
401,28:24.0,51.39592324,8.26237917,1388.5,17.85,6317
402,28:26.0,51.3959167,8.262373308,1388.375,19.25,6097
403,28:28.0,51.39591284,8.262371925,1388,20.8,6097
404,28:30.0,51.39591153,8.262379545,1387.875,22.4,6097
405,28:32.0,51.3959142,8.26241366,1387.25,23.35,6097
406,28:34.0,51.3959122,8.262420602,1385.625,24.3,6097
407,28:36.0,51.3959016,8.262417133,1384.5,25.25,6097
408,28:38.0,51.39589804,8.262413749,1383.5,24.15,5877
409,28:40.0,51.39589691,8.262410202,1382.375,21.3,5877
410,28:42.0,51.39590065,8.262399496,1380.875,17.6,5877
411,28:44.0,51.39590445,8.262397217,1379.875,15.2,5877
412,28:46.0,51.39591711,8.262399633,1378.625,13.6,5877
413,28:48.0,51.39592062,8.262397654,1376.375,10.75,5877
414,28:50.0,51.39592156,8.262384006,1375,8.65,5657
415,28:52.0,51.39591951,8.262373338,1374.25,6.6,5657
416,28:54.0,51.39591294,8.262387132,1373.5,4.7,5657
417,28:56.0,51.39591512,8.262389407,1374,3.4,5657
418,28:58.0,51.39592138,8.262390164,1374,3.3,5657
419,29:00.0,51.39592938,8.262389029,1373.5,3.3,5657
420,29:02.0,51.39593197,8.262386825,1373.625,3.35,5437
421,29:04.0,51.39592336,8.26237936,1372.125,2.85,5437
